actual_fra,actual_eng,predicted_eng
je suis contente de lentendre,im glad to hear it,im glad to  hear   
cest mort,its dead,its       
ne tarrête pas de grimper,keep climbing,keep climbing      
je vous respecte,i respect you,i call you     
quest ce que tu as fait ensuite ,what did you do then,what  you do    
je vous donnerai un indice,ill give you a hint,ill give you a hint   
sontelles déjà arrivées ,have they arrived yet,have they arrived come    
elle sait tout,she knows everything,she know everything     
jespère que cest vrai,i hope its true,i hope its true    
ils mont dépouillée,they robbed me blind,they robbed me blind    
sontils grands ,are they tall,are they big     
fais attention ,be careful,look out      
ils ont abandonné,they gave up,they gave up     
arrête de bayer aux corneilles,stop gawking,stop clowning      
prends tout,take everything,take everything      
il est mon genre ,he is my type,hes my      
ma sœur sest fiancée,my sister got engaged,my sister got up    
laissezmoi faire ça,let me do this,leave it to do    
je suis très attirée par vous,im very drawn to you,im very drawn to you   
tom transpire,toms sweating,tom is sweating     
je peux nous faire rentrer,i can get us in,i can rely on in   
on sait tout ça,we know all this,we all  that    
vous êtes trop tendus,youre too tense,youre too      
jai commis une erreur,i made a mistake,i made a mistake    
quel est le niveau de vie de tom ,how well off is tom,how is toms     
cet or est mien,this gold is mine,this mango is     
vous êtes ici en sécurité,youre safe here,youre safe here     
estce une possibilité ,is that a possibility,is that a wolf    
je l’espère vraiment,i really hope so,i really loved     
je nai pas de regrets,i have no regrets,i dont no beef    
ne soyez pas tellement impatiente ,dont be so impatient,dont be so impatient    
elles restent,theyre staying,theyre staying      
tom est un homme bon,tom is a good man,tom is a good man   
estce trop loin pour marcher ,is it too far to walk,is it here late    
je men sers,i use it,i am your way    
je connais votre frère,i know your brother,i know your brother    
jadore les fêtes sur la plage,i love beach parties,i love in the beach   
je me sens normale,i feel normal,i feel normal     
ne réveillez pas la chatte,dont wake the cat,dont wake the cat    
ne bougez pas ou je tire,stop or ill shoot,dont kind of     
cest un canon,she is a beauty,shes a looker     
tu es en avance,youre early,youre are early     
comment pouvonsnous te remercier ,how can we thank you,how can we do you   
elle mit des chaussettes,she put on socks,she  up a    
je nai pas fait attention,i didnt care,i wasnt care     
quelle idée fantastique ,what a terrific idea,how an curious     
vous êtes talentueux,youre talented,youre talented      
je pense avoir raison,i think im right,i think im right    
tu es la doyenne,youre the oldest,youre the oldest     
je vais attendre dans la voiture,ill wait in the car,im going in the car   
tom semble confus,tom looks baffled,tom looks confused     
tom a lair si sympathique,tom seems so nice,tom looks so     
en avezvous peur ,are you afraid of it,are you afraid of    
tom mentil ,is tom lying,tom is      
sontelles nouvelles ,are they new,are they enthusiastic     
je pensais être heureux,i thought i was happy,i thought i was happy   
ne rate pas le bus,dont miss the bus,dont give the bus    
tom savait où aller,tom knew where to go,tom said i go    
je vais appeler le cuistot,ill call the chef,ill call the cops    
je lai fait une fois,i did that one time,i did it once    
je savais que tu dirais ça,i knew youd say that,i knew i said that   
je veux me rendre sur mars,i want to go to mars,i want to  down   
je choisis ceci,this is my choice,ill choose this one    
ne soyez pas si impatient ,dont be so impatient,dont be so impatient    
il chante bien,he is good at singing,he sings well     
je peux vous insérer,i can squeeze you in,i can you a    
jai payé dans les 50 balles,i paid about 50 bucks,i ran for ideas    
elle le regarda nager,she watched him swim,she watched him to    
on nous exploite,were being used,were going us     
qui sont ces hommes ,who are these men,who are those men    
je ne parle pas vite,i dont speak fast,i dont speak fast    
nous étions amoureux,we were in love,we were in love    
jai entendu tousser,i heard coughing,i had killed     
suisje qualifié ,am i qualified,am i      
ce nest quune mode passagère,its just a fad,this is a fad    
je ne suis pas comme eux,im not like them,im not like them    
ça fait quoi ,how does it feel,what it      
tout le monde attendit,everybody waited,everyone went      
où se trouve le chat ,where is the cat,wheres the cat     
ne bougez pas,stand still,dont move      
estce assez ,is it enough,is that enough     
il courait à toute vitesse,he ran at full speed,he hardly him     
je déteste mon ordinateur,i hate my computer,i hate my computer    
tu en as assez vu,youve seen enough,you seen enough     
estu enceinte ,are you pregnant,are you courageous     
tous les trois furent tués,all three were killed,all  were silent    
il prit un jour de congé,he took a day off,he took a  id   
laissezmoi men aller ,let me go,let me go     
tout est ici,its all here,everything is here     
je reviens de suite,ill be right back,ill will back  soon   
jai trois choix,i have three choices,i have three choices    
je continuai à chanter,i continued singing,i continued singing     
nous avons battu trois équipes,we beat three teams,we have three  asleep   
il est cardiologue,hes a cardiologist,he is cardiologist     
cest à moi que tu parles ,are you talking to me,i must be joking    
le vent hurlait,the wind was howling,the wind was     
cela vous atil mis en colère ,did it make you angry,did it  angry    
je vous ai laissés mattraper,i let you catch me,i let you me up   
ça sest déroulé sans problème,it went off smoothly,it was a problem    
je peux y survivre,i can survive this,i can survive there    
jai craché du sang,i coughed up blood,i have blood     
jy suis né,i was born there,i was born there    
de prime abord j’ai refusé,i refused at first,may i me     
jai vraiment fait ça,i really did that,i really did that    
il le fait correctement,hes doing it right,he did it well    
nous avons besoin de plus,we need more,we need more     
elles en ont eu assez,theyve had enough,theyve had enough     
tom se sentit mal à laise,tom felt sick,tom felt ill     
aimestu le café ,do you like coffee,do you like coffee    
je ne peux pas manger de poulet,i cant eat chicken,i cant eat an    
à quelle heure est le brunch ,what time is brunch,whose is      
débarrassezvous du canon ,get rid of the gun,get rid of the    
il ma préparé à déjeuner,he cooked me dinner,he cooked me lunch    
je suis myope,im nearsighted,im thrilled      
abaisse ta fenêtre ,roll down your window,charge up your window    
je ne sais pas parler français,i cant speak french,i cant speak  french   
êtesvous sorti ,did you go out,did you go out    
il veut me tuer,he wants to kill me,he wanted to kill me   
personne ne dit rien,nobody says anything,no one anything     
jai besoin de me trouver seul,i need to be alone,i need to alone    
jespère que tu viendras,i hope youll come,i hope you go    
quelle est votre idée ,whats your idea,what is your idea    
vous êtes plantés,youre stuck,youre free      
je resterai en contact,ill be in touch,ill stay in  hurry   
tom prend sa retraite,tom is retiring,tom has yelling     
pourquoi le tolérezvous ,why do you permit it,why do the teen    
tom est mon ami,toms my friend,tom is my friend    
mon nez coule,my nose is running,my nose is bleeding    
je narrive pas à entendre quoi que ce soit,i cant hear a thing,i cant hear a thing   
elle me donna une montre,she gave me a watch,she gave me a watch   
je dois continuer dessayer,i have to keep trying,i must to go    
ne mobligez pas à partir,dont make me leave,dont make me go    
prenez quelques jours de congé,take a few days off,have a few     
vous avez été septième,you were seventh,you were seventh     
tom y estil retourné ,has tom returned,is tom loves     
quelquun a appelé tom,someone called tom,someone  tom     
tu nes pas viré,youre not fired,youre not fired     
asseyezvous sil vous plaît,sit down please,please sit down     
prenez des notes,take notes,take notes      
il ny a rien à la téloche,nothings on tv,theres nothing on tv    
je suis ton partenaire,im your partner,im your partner     
tout le monde tapprécie,everybody likes you,everybody likes you     
tu es un grand malade,youre seriously ill,youre a sick     
je me suis coupée en me rasant,i cut myself shaving,i awoke my broken    
vous êtes trop bruyante,youre too loud,youre too loud     
je déteste me conduire comme une idiote,i hate being stupid,i hate being     
je narrive pas à voir le film,i cant see the movie,i cant see the movie   
je me sens bête,i feel like an idiot,i feel stupid     
je vais te botter le train ,ill kick your butt,ill go it the train   
il me faut le faire,i need to do this,i need to do it   
il arrive que les enfants soient tellement méchants,kids can be so mean,they be a so much   
je crois que nous lavons trouvé,i think we found it,i think who found    
approchez,come up here,come back in     
nous sommes d’accord avec vous,we agree with you,were with you     
avezvous trouvé tom ,did you find tom,did you find tom    
astu faim aussi ,are you hungry too,are you hungry too    
jai fait ce que je pouvais,i did what i could,i did what i could   
regardez cette montagne,look at that mountain,look at that mountain    
le travail est à moitié fait,the job is half done,the part is     
sa colère était sincère,her anger was genuine,his story was mad    
la lune a fait son apparition,the moon has come out,the moon is up    
fais ton lit ,make your bed,make your bed     
jai oublié ça,i forgot about that,i forgot that     
estce que je pourrais y aller maintenant ,can i go there now,can i go now    
essuie ton visage,wipe your face clean,speak your face     
tom nest pas mon fils,tom isnt my son,tom is not my son   
maintenant je sais pourquoi,now i know why,im thats im why    
astu froid ,are you cold,are you cold     
je déteste prendre des risques,i hate taking risks,i hate ski     
je suis assez content,im happy enough,im happy enough     
nous allons tous chez nous,were all going home,were all going home    
cest vexant,thats upsetting,thats is      
japprécie lart,i like art,i love      
elle est obstinée,she is stubborn,she is obstinate     
protégez vos yeux,protect your eyes,wash your eyes     
tom est ivre,toms drunk,tom is drunk     
tom est important,toms important,tom is important     
alors cela vous plaîtil ,do you like it then,so do you like this   
jai besoin dun marteau,i need a hammer,i need a hammer    
regarde ça,check this,look at that     
je resterai ici,ill stay here,ill will stay here    
il te faut me le dire,you must tell me,you must tell     
jignore simplement tom,i just ignore tom,i just know tom    
rentrez chez vous,go home,go to home     
quand lavezvous acheté ,when did you buy it,when did you buy it   
il sest fâché,he got angry,he got angry     
cest du sabotage,this is sabotage,thats is      
je ne te crois pas,i dont believe you,i dont believe you    
merci à vous toutes,thanks to all of you,thanks for all     
tom est dans le parc,tom is in the park,tom is in the park   
ton chien est très gros,your dog is very big,your dog is very fat   
tu es très drôle,youre very funny,youre very funny     
quelle aventure ,how adventurous,what a nightmare     
qui a supprimé le fichier ,who deleted the file,who the  file    
il pleut dru,its raining hard,it is raining hard    
il est parti au maquis,hes gone into hiding,he went to doctorate    
parle distinctement,speak clearly,speak to      
tout ceci estil réel ,is this all for real,whats this  real    
nous sommes tous deux enseignants,were both teachers,we both are teachers    
pourquoi parstu ,why are you going,why are you leaving    
alors commençons,lets begin then,now are      
tu nes pas seul,youre not alone,youre not alone     
nous avons fait des sacrifices,we made sacrifices,we made sacrifices     
jai essayé de faire de mon mieux,i tried to do my best,i tried to  my   
cela doitil partir ,is it to go,is that ready go    
restez dans la voiture ,stay in the car,stay in the car    
tom narrête jamais,tom never stops,tom never      
nous étions chanceux,we were lucky,we were lucky     
soyez clémentes ,be merciful,be brief      
cest impossible,this is impossible,its impossible      
je lignorais,i didnt know that,i didnt know this    
jaime mes amis,i like my friends,i love my friends    
je ne suis pas désespérée,im not desperate,im not desperate     
veuillez pardonner lintrusion,forgive the intrusion,please forgive correct     
tom est malheureux,toms miserable,toms is      
je suis encore mariée,im still married,im still married     
elles te craignaient,they feared you,they feared you     
attends tom,wait for tom,wait on tom     
nous sommes tous les mêmes,were all the same,were all the same    
tu es aux commandes maintenant,youre in charge now,youre in now     
jai faim ,im hungry,im feeling hungry     
nous avons beaucoup ri,we laugh a lot,we suffered a lot    
je ne me sens pas bien,i dont feel well,i dont feel well    
vous avez deux balles,you have two balls,you have two balls    
tom est un client,tom is a client,tom is a blonde    
tom a fait signe de la main,tom waved,tom is      
êtesvous énervé ,are you excited,are you excited     
pèle les concombres,peel the cucumbers,the  up     
avezvous une seconde ,do you have a second,do you have a second   
elles sont pilotes,they are pilots,they are pilots     
ce nest pas assez,this is not enough,thats not enough     
je ne suis pas découragé,im not discouraged,im not out     
je vous prie de maider,please help me,please help me     
elle est à la mode,shes fashionable,she is a typist    
qui est ton instituteur ,whos your teacher,who is your teacher    
quand estu occupé ,when are you busy,when are you going    
jadore cette photo,i love this photo,i love this store    
quelle est la date aujourdhui ,what is todays date,whats todays date     
la nuit est chaude,the night is hot,the night is dark    
pourquoi estu si intelligent ,why are you so smart,why are you so    
devezvous partir maintenant ,do you have to go now,do you have to go now  
je me sens mieux,i feel better,i feel better     
tom se sentait confus,tom felt confused,tom felt confused     
